time,dt,mCS_xx,mCS_yy,mCS_zz,mEE_xx,mEE_yy,mEE_zz,mTE_xx,mTE_yy,mTE_zz,ndof,nelem,num_lin_it,num_nonlin_it
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0001,0.0001,0.08000002445639,-3.9938871347705e-11,1.0425513541351e-11,5.0955429595697e-07,-1.5286628904448e-07,-1.5286628862745e-07,5.0955429595697e-07,-1.5286628904448e-07,-1.5286628862745e-07,145507,7462,24,2
0.0003,0.0002,0.24000022012568,1.7635682368896e-12,-4.7694130180563e-12,1.5286638224623e-06,-4.5859914671662e-07,-4.5859914677071e-07,1.5286638224623e-06,-4.5859914671662e-07,-4.5859914677071e-07,145507,7462,11,1
0.0007,0.0004,0.56000119847871,1.4105984629504e-11,-1.1452499989123e-11,3.566886614509e-06,-1.0700659842425e-06,-1.0700659844541e-06,3.566886614509e-06,-1.0700659842425e-06,-1.0700659844541e-06,145507,7462,11,1
0.0015,0.0008,1.2000055032293,1.0857446532157e-10,5.8304145194598e-12,7.6433471541079e-06,-2.2930041456175e-06,-2.2930041464683e-06,7.6433471541079e-06,-2.2930041456175e-06,-2.2930041464683e-06,145507,7462,11,1
0.0031,0.0016,2.4800235049585,1.804624127737e-10,-2.4159020961712e-10,1.5796328057177e-05,-4.738898415507e-06,-4.7388984190017e-06,1.5796328057177e-05,-4.738898415507e-06,-4.7388984190017e-06,145507,7462,11,1
0.0063,0.0032,5.0400970784736,7.1493001152e-10,-6.4207197355654e-10,3.2102529162113e-05,-9.6307587428952e-06,-9.6307587541315e-06,3.2102529162113e-05,-9.6307587428951e-06,-9.6307587541315e-06,145507,7462,11,1
0.0127,0.0064,10.160394514414,-5.2233067190819e-12,-5.158488555637e-12,6.4715888626861e-05,-1.9414766588076e-05,-1.9414766588075e-05,6.4715888626861e-05,-1.9414766588076e-05,-1.9414766588075e-05,145507,7462,24,2
0.0255,0.0128,20.401590595985,2.1471659048712e-12,3.5555133954756e-12,0.00012994643691709,-3.8983931075124e-05,-3.8983931075113e-05,0.00012994643691709,-3.8983931075124e-05,-3.8983931075113e-05,145507,7462,24,2
0.0511,0.0256,40.886388067329,2.4245642121289e-11,2.6541872880724e-11,0.00026042285393194,-7.8126856179507e-05,-7.8126856179487e-05,0.0002604228539325,-7.8126856179724e-05,-7.8126856179832e-05,145507,7462,24,2
0.1023,0.0512,80.024469305044,-1.2253783568283e-10,2.0582333272184e-10,0.00050970999557337,-0.00015291299867323,-0.00015291299867051,0.00050971113991296,-0.00015291344184809,-0.00015291369983525,145507,7462,25,2
0.2047,0.1024,80.024469504919,-1.9153039916568e-08,7.6195882105877e-09,0.00050970999686866,-0.00015291299919054,-0.00015291299896886,0.00050971342982359,-0.00015291432868647,-0.00015291510242785,145507,7462,38,3
0.4095,0.2048,80.024469851481,2.0405566173137e-12,1.0173305863019e-12,0.00050970999905402,-0.0001529129997162,-0.0001529129997162,0.00050971800898872,-0.0001529161017415,-0.0001529179076256,145507,7462,12,1
0.8191,0.4096,80.024470584158,4.7510207641416e-12,-1.2986049075703e-13,0.00050971000372075,-0.0001529130011162,-0.00015291300111624,0.00050972716661176,-0.0001529196477493,-0.00015292351737414,145507,7462,13,1
1.6383,0.8192,80.024472049212,-4.1408716597779e-12,-1.3964316547056e-11,0.00050971001305234,-0.00015291300391569,-0.00015291300391577,0.00050974547784579,-0.00015292673796178,-0.00015293473466313,145507,7462,12,1
3.2767,1.6384,80.024474978018,4.4776032924812e-12,-9.8320473178493e-11,0.0005097100317073,-0.00015291300951192,-0.00015291300951277,0.00050978208428678,-0.00015294091118332,-0.00015295716042085,145507,7462,12,1
6.5535,3.2768,80.024480830476,4.8388222411138e-11,-3.7582720400673e-10,0.00050971006898455,-0.00015291302069415,-0.00015291302069766,0.00050985523323495,-0.00015296922889109,-0.00015300197675112,145507,7462,12,1
13.1071,6.5536,80.024492514677,-5.2128822948787e-10,-8.1780538996651e-10,0.00050971014340815,-0.00015291304302343,-0.00015291304302589,0.0005100012768099,-0.00015302574999395,-0.00015309146945713,145507,7462,24,2
26.2143,13.1072,80.024515802085,-2.0786822280822e-09,-3.2609852702635e-09,0.00050971029174323,-0.00015291308752692,-0.00015291308753671,0.00051029235993896,-0.00015313834078979,-0.00015326990246956,145507,7462,24,2
52.4287,26.2144,80.02456205993,-8.2116297555126e-09,-1.2887672391998e-08,0.0005097105864093,-0.00015291317593837,-0.00015291317597709,0.00051087060324115,-0.00015336175811527,-0.00015362461063204,145507,7462,25,2
104.8575,52.4288,80.024653363731,-3.1959600845996e-08,-5.0148649094229e-08,0.00050971116807875,-0.00015291335048429,-0.0001529133506349,0.00051201208944674,-0.0001538018429563,-0.00015432577953089,145507,7462,24,2
