time,dt,mCS_xx,mCS_yy,mCS_zz,mEE_xx,mEE_yy,mEE_zz,mTE_xx,mTE_yy,mTE_zz,ndof,nelem,num_lin_it,num_nonlin_it
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0001,0.0001,0.080000024497242,-5.1181977493014e-11,-5.3369725275292e-12,5.0955429626877e-07,-1.5286628916403e-07,-1.5286628878443e-07,5.0955429602308e-07,-1.5286628904374e-07,-1.5286628865903e-07,203957,7462,26,2
0.0003,0.0002,0.24000022061041,-1.5832188939848e-12,-6.0528050196203e-12,1.5286638255586e-06,-4.5859914766172e-07,-4.5859914769873e-07,1.5286638238388e-06,-4.5859914681969e-07,-4.5859914682093e-07,203957,7462,11,1
0.0007,0.0004,0.56000120110294,-5.7303778963711e-12,-3.5155436816313e-11,3.566886631307e-06,-1.070065989338e-06,-1.0700659895816e-06,3.5668866227079e-06,-1.0700659851278e-06,-1.0700659851927e-06,203957,7462,11,1
0.0015,0.0008,1.2000055152915,-2.034711971393e-11,-1.6395577736726e-10,7.6433472315083e-06,-2.2930041691632e-06,-2.2930041703523e-06,7.6433471934268e-06,-2.2930041505184e-06,-2.2930041509155e-06,203957,7462,11,1
0.0031,0.0016,2.4800235565902,-7.8147155413433e-11,-7.0701850575288e-10,1.5796328387425e-05,-4.7388985149243e-06,-4.7388985201315e-06,1.5796328227486e-05,-4.7388984366181e-06,-4.7388984384982e-06,203957,7462,11,1
0.0063,0.0032,5.0400972921111,2.9522119449586e-10,-3.5577402344696e-09,3.2102530529235e-05,-9.6307591482216e-06,-9.6307591801251e-06,3.2102529874022e-05,-9.6307588274333e-06,-9.6307588457011e-06,203957,7462,11,1
0.0127,0.0064,10.160395380941,1.1038932892782e-09,-1.331526176384e-08,6.4715894169457e-05,-1.9414768211362e-05,-1.9414768330757e-05,6.4715891517601e-05,-1.9414766913052e-05,-1.9414766977212e-05,203957,7462,24,2
0.0255,0.0128,20.401594090445,4.9424744201845e-09,-5.3232740316461e-08,0.00012994645926708,-3.8983937619244e-05,-3.8983938100949e-05,0.00012994644859858,-3.8983932396282e-05,-3.8983932655408e-05,203957,7462,24,2
0.0511,0.0256,40.88640210835,2.3767575586461e-08,-2.1016581269392e-07,0.00026042294372146,-7.812688245661e-05,-7.8126884393638e-05,0.00026042290093514,-7.8126861511197e-05,-7.8126862552723e-05,203957,7462,24,2
0.1023,0.0512,80.024523145925,1.2239331402542e-07,-7.7857606637852e-07,0.00050971033976293,-0.00015291309928542,-0.00015291310674568,0.00050971138214646,-0.0001529134844165,-0.00015291376399813,203957,7462,25,2
0.2047,0.1024,80.024523660361,1.858963913498e-07,-6.9267971609943e-07,0.00050971034275412,-0.00015291310002808,-0.00015291310730291,0.00050971379608689,-0.00015291441506133,-0.00015291524560244,203957,7462,39,3
0.4095,0.2048,80.024524631629,3.7196114738985e-07,-5.5932592539151e-07,0.00050971034833018,-0.00015291310095369,-0.00015291310866499,0.00050971862760714,-0.00015291627759738,-0.00015291821129826,203957,7462,23,2
0.8191,0.4096,80.024526632095,7.1460219137204e-07,-2.6085184290543e-07,0.00050971035984694,-0.00015291310316415,-0.00015291311124115,0.00050972830750733,-0.00015292001038082,-0.00015292415168486,203957,7462,23,2
1.6383,0.8192,80.024530694126,1.4269737169635e-06,3.6133898234474e-07,0.00050971038316963,-0.00015291310757749,-0.00015291311640122,0.00050974773699246,-0.00015292750678341,-0.00015293607101812,203957,7462,23,2
3.2767,1.6384,80.024539053504,2.9544076411529e-06,1.7018468815612e-06,0.00050971043093393,-0.00015291311638342,-0.00015291312675495,0.00050978689815654,-0.00015294263253746,-0.00015296007782352,203957,7462,23,2
6.5535,3.2768,80.024556643878,6.3780358522877e-06,4.7313840545286e-06,0.00050971053064365,-0.00015291313397798,-0.00015291314761268,0.0005098665861606,-0.00015297347922913,-0.00015300885787849,203957,7462,23,2
13.1071,6.5536,80.024594816893,1.44072016744e-05,1.1933699481631e-05,0.00050971074467912,-0.00015291316954125,-0.00015291319002248,0.00051003245594798,-0.00015303795144643,-0.00015311011938615,203957,7462,23,2
26.2143,13.1072,80.024679980526,3.3423002153587e-05,2.9378797029335e-05,0.00050971121745214,-0.00015291324448914,-0.00015291327797619,0.00051039568372675,-0.00015317992119814,-0.00015333106754179,203957,7462,23,2
