time,dt,mCS_xx,mCS_yy,mCS_zz,mD,mEE_xx,mEE_yy,mEE_zz,mTE_xx,mTE_yy,mTE_zz,ma,mb,ndof,nelem,num_lin_it,num_nonlin_it
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0001,0.0001,0.080000024458676,-1.7840356192306e-14,1.0748371141698e-14,0.00011853322220652,5.0955429591514e-07,-1.5286628877467e-07,-1.5286628877444e-07,5.095542959148e-07,-1.528662887745e-07,-1.5286628877426e-07,6.9934601101848e-06,0.010315353634753,1887675,62694,45,2
0.0003,0.0002,0.24000022012822,-1.9572297609743e-13,-2.3245057652386e-13,0.00011853322416857,1.5286638224735e-06,-4.5859914674262e-07,-4.5859914674292e-07,1.5286638224711e-06,-4.5859914674143e-07,-4.5859914674167e-07,6.9934602259459e-06,0.010315353634753,1887675,62694,45,2
0.0007,0.0004,0.56000119847807,-9.7690849952768e-13,-9.3801553745745e-13,0.00011853323317516,3.5668866145136e-06,-1.0700659843574e-06,-1.0700659843571e-06,3.5668866145014e-06,-1.0700659843515e-06,-1.0700659843508e-06,6.9934607573346e-06,0.010315353634753,1887675,62694,45,2
0.0015,0.0008,1.2000055032347,-3.7582842310906e-12,-4.6426179457968e-12,0.00011853327242548,7.6433471543771e-06,-2.2930041463234e-06,-2.2930041463307e-06,7.6433471543228e-06,-2.2930041462969e-06,-2.2930041463029e-06,6.9934630731035e-06,0.010315353634753,1887675,62694,44,2
0.0031,0.0016,2.4800235050913,-1.5202401412178e-11,-2.0048848753997e-11,0.00011853343425021,1.5796328057974e-05,-4.7388984174304e-06,-4.7388984174705e-06,1.5796328057745e-05,-4.7388984173188e-06,-4.7388984173532e-06,6.9934726207625e-06,0.010315353634753,1887675,62694,44,2
0.0063,0.0032,5.0400970791043,-8.0281416595525e-11,-7.9676569602314e-11,0.00011853409331783,3.2102529166575e-05,-9.6307587502399e-06,-9.6307587502349e-06,3.2102529165627e-05,-9.6307587497776e-06,-9.630758749749e-06,6.993511505752e-06,0.010315353634753,1887675,62694,44,2
0.0127,0.0064,10.160394515484,-2.8495583301834e-10,-4.0790519632806e-10,0.00011853675879636,6.4715888634982e-05,-1.9414766591133e-05,-1.9414766592151e-05,6.4715888631061e-05,-1.9414766589221e-05,-1.9414766590142e-05,6.993668768985e-06,0.010315353634753,1887675,62694,60,2
0.0255,0.0128,20.401590600831,-1.1710063147762e-09,-1.4838522370534e-09,0.00011854752699826,0.00012994643695304,-3.8983931089014e-05,-3.8983931091604e-05,0.00012994643693657,-3.8983931080986e-05,-3.8983931083164e-05,6.9943040928975e-06,0.010315353634753,1887675,62694,43,2
0.0511,0.0256,40.886388089282,-5.7299541932656e-09,-4.7156275775775e-09,0.00011859113746258,0.00026042285409182,-7.8126856249044e-05,-7.8126856240646e-05,0.00026042285402073,-7.8126856214399e-05,-7.8126856204198e-05,6.9968771102922e-06,0.010315353634753,1887675,62694,46,2
0.1023,0.0512,80.024469432891,-2.1810683936382e-08,-2.7978367744152e-08,0.00011877733731611,0.00050970999648298,-0.00015291299900181,-0.00015291299905288,0.00050971157631795,-0.00015291376546484,-0.00015291381242482,7.0078629016506e-06,0.010315353634753,1887675,62694,55,2
0.2047,0.1024,80.024469751975,-3.0172035482957e-08,-3.607984323925e-08,0.00011915211954001,0.00050970999854682,-0.0001529129996493,-0.00015291299969822,0.00050971473825306,-0.00015291529930433,-0.00015291543974944,7.0299750528604e-06,0.010315353634753,1887675,62694,38,2
0.4095,0.2048,80.024470425985,-4.8966616891018e-08,-6.3910387886729e-08,0.0001199153664733,0.00050971000292897,-0.00015291300100375,-0.00015291300112749,0.00050972106271794,-0.0001529183677894,-0.00015291869413081,7.0750066219247e-06,0.010315353634753,1887675,62694,84,2
0.8191,0.4096,80.024471924538,-9.8192309164495e-08,-1.3832524204554e-07,0.00012147678240378,0.00050971001271015,-0.00015291300403857,-0.00015291300437089,0.00050973372381763,-0.00015292451233192,-0.00015292520718502,7.1671301618231e-06,0.010315353634753,1887675,62694,89,2
1.6383,0.8192,80.024475376572,-2.2254161625946e-07,-3.1842489041367e-07,0.00012462355680392,0.00050971003527937,-0.00015291301108271,-0.00015291301187665,0.00050975914101736,-0.00015293685188704,-0.0001529382768103,7.3527898514313e-06,0.010315353634753,1887675,62694,135,2
2.4575,0.8192,80.024479317707,-3.6520446962222e-07,-5.0667906123254e-07,0.00012772447047438,0.00050971006101447,-0.0001529130191625,-0.00015291302033395,0.00050978469625219,-0.00015294926069813,-0.00015295141403604,7.5357437579882e-06,0.010315353634753,1887675,62694,132,2
3.2767,0.8192,80.024483606,-5.0229872936968e-07,-6.6574114231804e-07,0.00013073484959234,0.00050971008889435,-0.00015291302792597,-0.00015291302927931,0.0005098104159978,-0.00015296175018323,-0.0001529646341255,7.7133561259482e-06,0.010315353634753,1887675,62694,134,2
4.9151,1.6384,80.024492625975,-6.7830893942314e-07,-7.8994586791455e-07,0.00013632049523281,0.00050971014692008,-0.00015291304604534,-0.00015291304696972,0.00050986255754655,-0.00015298706748884,-0.00015299143615269,8.0429092187358e-06,0.010315353634753,1887675,62694,231,2
5.7343,0.8192,80.024497443649,-7.4096720851201e-07,-7.907210441381e-07,0.00013902104645269,0.0005097101777271,-0.0001529130556487,-0.00015291305606067,0.00050988882383164,-0.00015299981905465,-0.00015300493875926,8.2022417407085e-06,0.010315353634753,1887675,62694,134,2
6.5535,0.8192,80.024502331237,-7.7151136944169e-07,-7.3376223409458e-07,0.00014162487349272,0.00050971020880776,-0.00015291306529142,-0.00015291306497885,0.00050991528621949,-0.00015301266338937,-0.00015301854429263,8.3558675360704e-06,0.010315353634753,1887675,62694,134,2
8.1919,1.6384,80.024511997894,-7.3221115490935e-07,-4.5301565435377e-07,0.00014647610780085,0.00050971026976728,-0.00015291308404888,-0.00015291308173707,0.00050996895010936,-0.00015303869917304,-0.000153046146955,8.6420848684863e-06,0.010315351618518,1887675,62694,319,3
9.0111,0.8192,80.024516927692,-6.8353873908245e-07,-2.576905230138e-07,0.00014882698461757,0.00050971030070102,-0.0001529130935321,-0.00015291309000596,0.00050999597043708,-0.00015305180486134,-0.00015306004841277,8.7807722528844e-06,0.010315345565208,1887675,62694,132,2
9.8303,0.8192,80.024521831982,-6.1311790134841e-07,-2.5267862866288e-08,0.00015110380692173,0.00050971033135986,-0.00015291310289893,-0.00015291309803138,0.00051002317361333,-0.00015306499550815,-0.00015307404767564,8.9150771890688e-06,0.010315336224136,1887675,62694,132,2
11.4687,1.6384,80.024531360904,-4.1833600633243e-07,5.2688055755638e-07,0.00015538420900644,0.00050971039062638,-0.00015291312092147,-0.00015291311309484,0.00051007824798294,-0.00015309168553702,-0.00015310240583586,9.1675443005657e-06,0.010315317669604,1887675,62694,219,2
12.2879,0.8192,80.024536135998,-3.0325041338111e-07,8.3702508458898e-07,0.00015746548568374,0.00050971042022844,-0.00015291312990546,-0.00015291312046369,0.00051010595029531,-0.00015310510644836,-0.00015311667398766,9.2902773023112e-06,0.010315304021332,1887675,62694,132,2
13.1071,0.8192,80.024540853354,-1.7781187689955e-07,1.1656811621866e-06,0.00015948973748489,0.0005097104494076,-0.00015291313874855,-0.00015291312762409,0.00051013381089779,-0.00015311859992443,-0.00015313102793839,9.4096417991461e-06,0.010315293122458,1887675,62694,132,2
14.7455,1.6384,80.024549974197,9.066724592291e-08,1.8552770311969e-06,0.00016332790583954,0.00050971050567143,-0.00015291315578455,-0.00015291314117314,0.00051019010351508,-0.00015314584762411,-0.00015316004717723,9.6359440691803e-06,0.010315270813954,1887675,62694,218,2
18.0223,3.2768,80.024567136486,6.3354827107773e-07,3.2714649577797e-06,0.00017030804844531,0.00050971061124193,-0.00015291318782699,-0.00015291316598437,0.00051030457267206,-0.00015320119519791,-0.00015321912004358,1.0047352432579e-05,0.010315193807786,1887675,62694,463,3
24.5759,6.5536,80.024598229965,1.5530598628175e-06,5.9801847649144e-06,0.00018225253530218,0.00050971080235664,-0.00015291324656041,-0.00015291320990269,0.00051053875988143,-0.00015331422536834,-0.00015334018861956,1.0750718895541e-05,0.010314962718562,1887675,62694,512,3
37.6831,13.1072,80.024652518861,2.5852910752709e-06,1.0526166991334e-05,0.00020144339722279,0.00050971113748677,-0.00015291335240903,-0.00015291328665655,0.00051101770872242,-0.00015354481979411,-0.00015358839050712,1.1870353997773e-05,0.010312362160323,1887675,62694,768,3
63.8975,26.2144,80.024746189791,2.8688914292183e-06,1.6994957989569e-05,0.00023064433996548,0.00050971172121424,-0.00015291354195244,-0.00015291342498501,0.00051198373285625,-0.00015400886975108,-0.00015409010882837,1.3531865642214e-05,0.010303403762281,1887675,62694,2048,8
116.3263,52.4288,80.024911165059,1.6732976207724e-06,2.434411583908e-05,0.00027364042902977,0.00050971276025373,-0.00015291387885003,-0.00015291369112988,0.0005138801051917,-0.00015491969407381,-0.00015507522084407,1.5864564185535e-05,0.010282109165561,1887675,62694,1280,5
221.1839,104.8576,80.025208017026,-7.155222659927e-07,3.0062455987086e-05,0.00033603979497903,0.00050971464466844,-0.00015291447222527,-0.00015291421737576,0.00051748572586793,-0.00015665672781985,-0.00015694304298067,1.9024329881154e-05,0.010243565191588,1887675,62694,2816,11
326.0415,104.8576,80.025486601367,-2.6241844472558e-06,3.1953440790164e-05,0.00038889275213022,0.00050971641912478,-0.00015291502032246,-0.00015291473401092,0.00052093136084889,-0.00015832169447819,-0.00015872300157929,2.1480762387185e-05,0.010205817747466,1887675,62694,2304,9
535.7567,209.7152,80.026000605094,-5.5879373869784e-06,3.1717665469864e-05,0.00047413803290141,0.00050971969914761,-0.00015291602092207,-0.00015291571202217,0.00052734479245153,-0.00016143453891668,-0.00016202228733149,2.5074716159804e-05,0.010134111705554,1887675,62694,1280,5
