time,dt,mCS_xx,mCS_yy,mCS_zz,mEE_xx,mEE_yy,mEE_zz,mME_xx,mME_yy,mME_zz,mTE_xx,mTE_yy,mTE_zz,ndof,nelem,num_lin_it,num_nonlin_it
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003125,0.003125,5.6742900183247e-07,1.3305785866186e-06,3.2999455442373,-4.691864905288e-06,-4.6918602034185e-06,1.5639549643768e-05,-4.6918649037527e-06,-4.6918601967083e-06,1.5639549635522e-05,-4.6918649037527e-06,-4.6918601967083e-06,1.5639549635522e-05,1609870,81880,340,10
0.00625,0.003125,2.2021794531921e-08,1.1486762800741e-08,6.5998383380451,-9.3836563167666e-06,-9.3836563816744e-06,3.1278854635036e-05,-9.3836563121237e-06,-9.3836563615608e-06,3.1278854610279e-05,-9.3836563121237e-06,-9.3836563615608e-06,3.1278854610279e-05,1609870,81880,475,13
0.0078125,0.0015625,6.9685443643903e-07,5.8513141044868e-07,8.2497724931255,-1.1729531879728e-05,-1.1729532568069e-05,3.9098446011989e-05,-1.1729531873505e-05,-1.1729532539975e-05,3.9098445977671e-05,-1.1729531873505e-05,-1.1729532539975e-05,3.9098445977671e-05,1609870,81880,250,7
0.009375,0.0015625,9.6990100970557e-07,5.5625659474029e-07,9.8996934703912,-1.4075389753997e-05,-1.4075392302517e-05,4.6917976362767e-05,-1.4075389750067e-05,-1.4075392269271e-05,4.6917976325592e-05,-1.4075389750067e-05,-1.4075392269271e-05,4.6917976325592e-05,1609870,81880,264,8
0.0109375,0.0015625,1.0305681096957e-07,2.1857108742114e-07,11.549601050551,-1.6421233543506e-05,-1.6421232831807e-05,5.4737445279917e-05,-1.6421233571766e-05,-1.6421232825531e-05,5.4737445301901e-05,-1.6421233571766e-05,-1.6421232825531e-05,5.4737445301901e-05,1609870,81880,315,9
0.0125,0.0015625,3.24563605936e-07,2.9708706062606e-07,13.199496129707,-1.8767054992771e-05,-1.8767055162058e-05,6.2556852811431e-05,-1.8767055218887e-05,-1.8767055365166e-05,6.2556853240656e-05,-1.8767055218887e-05,-1.8767055365166e-05,6.2556853240656e-05,1609870,81880,231,6
0.0140625,0.0015625,1.6528106455636e-06,9.1883039504797e-07,14.849378539943,-2.1112853956499e-05,-2.1112858478652e-05,7.0376197954741e-05,-2.1112855099514e-05,-2.1112859686401e-05,7.0376200305505e-05,-2.1112855099514e-05,-2.1112859686401e-05,7.0376200305505e-05,1609870,81880,191,5
0.015625,0.0015625,1.0054426205102e-06,8.9332150643966e-07,16.499245564865,-2.3458639488215e-05,-2.3458640179008e-05,7.8195473911069e-05,-2.3458645271058e-05,-2.3458646575498e-05,7.8195486090402e-05,-2.3458645271058e-05,-2.3458646575498e-05,7.8195486090402e-05,1609870,81880,184,5
0.0171875,0.0015625,4.4235304645654e-07,2.6800294900098e-07,18.149094137002,-2.580439753151e-05,-2.5804398605705e-05,8.6014663146424e-05,-2.5804419944003e-05,-2.5804423336137e-05,8.6014710289349e-05,-2.5804419944003e-05,-2.5804423336137e-05,8.6014710289349e-05,1609870,81880,303,6
0.01875,0.0015625,3.4365319833549e-07,1.9668052526241e-07,19.798916387295,-2.8150116737154e-05,-2.8150117642673e-05,9.3833726185757e-05,-2.8150186676293e-05,-2.8150195109962e-05,9.3833873592186e-05,-2.8150186676293e-05,-2.8150195109962e-05,9.3833873592186e-05,1609870,81880,291,6
0.0203125,0.0015625,3.2349666965583e-07,2.2650219379673e-07,21.448691581847,-3.0495768810465e-05,-3.0495769408061e-05,0.00010165256595662,-3.0495963135893e-05,-3.0495984780144e-05,0.00010165297565413,-3.0495963135893e-05,-3.0495984780144e-05,0.00010165297565413,1609870,81880,236,6
0.021875,0.0015625,4.3185692505173e-07,6.7313636532828e-07,23.098374633818,-3.2841289858907e-05,-3.2841288372351e-05,0.00010947096825744,-3.2841786859377e-05,-3.2841839459504e-05,0.00010947201634506,-3.2841786859377e-05,-3.2841839459504e-05,0.00010947201634506,1609870,81880,212,6
